discovery_id,hypothesis_id,discovery_type,entry_family,exit_family,direction,sample_tier,discovery_score,decision,rationale,next_action
DISC_5f198b588f7e,HYP_c984bb352d,complete_strategy,premium_basis_overheat,indicator_invalidation,long,higher_confidence_watchlist,0.8409321664044944,watchlist_needs_ablation,Combined module premium_basis_overheat/30s/indicator_invalidation/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_9c009a37dbad,HYP_b2ca5a77a3,entry,premium_basis_overheat,ANY,long,higher_confidence_watchlist,0.8162563049503029,watchlist_needs_ablation,Entry family premium_basis_overheat with timing 30s and side long has reusable alpha if it remains positive after holding exit choices fixed.,Run one entry-family ablation with the top two stable exits and unchanged cost model.
DISC_feee62fe1eab,HYP_a5add7218f,entry,oi_funding_continuation,ANY,long,higher_confidence_watchlist,0.8149616982969798,watchlist_needs_ablation,Entry family oi_funding_continuation with timing 30s and side long has reusable alpha if it remains positive after holding exit choices fixed.,Run one entry-family ablation with the top two stable exits and unchanged cost model.
DISC_eb17ac95eaf9,HYP_c3c0449ddf,complete_strategy,freshness_strict_confirmation,breakeven_ratchet,long,higher_confidence_watchlist,0.809280164524266,watchlist_needs_ablation,Combined module freshness_strict_confirmation/30s/breakeven_ratchet/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_a2979f0ce27f,HYP_40cb1e9511,complete_strategy,premium_basis_overheat,state_machine,long,higher_confidence_watchlist,0.8062045580022832,watchlist_needs_ablation,Combined module premium_basis_overheat/30s/state_machine/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_c280397669d1,HYP_96fb583667,complete_strategy,oi_funding_continuation,breakeven_ratchet,long,higher_confidence_watchlist,0.8057287754778393,watchlist_needs_ablation,Combined module oi_funding_continuation/1m/breakeven_ratchet/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_ea0d2be05a53,HYP_0bc89253af,complete_strategy,premium_basis_overheat,breakeven_ratchet,long,higher_confidence_watchlist,0.8020256755583183,watchlist_needs_ablation,Combined module premium_basis_overheat/30s/breakeven_ratchet/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_6e074fa4b9a2,HYP_bb1fb15b32,complete_strategy,premium_basis_overheat,runner_trail,long,higher_confidence_watchlist,0.8005717697698744,watchlist_needs_ablation,Combined module premium_basis_overheat/30s/runner_trail/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_adc6ee18a57c,HYP_bdef076c7d,complete_strategy,oi_funding_continuation,breakeven_ratchet,long,higher_confidence_watchlist,0.7987907004917061,watchlist_needs_ablation,Combined module oi_funding_continuation/30s/breakeven_ratchet/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_f283c1859f32,HYP_f69f5554cf,complete_strategy,oi_funding_continuation,runner_trail,long,higher_confidence_watchlist,0.7958585422290209,watchlist_needs_ablation,Combined module oi_funding_continuation/1m/runner_trail/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_0ef7fb5ac47c,HYP_5535c835bc,exit,ANY,indicator_invalidation,long,higher_confidence_watchlist,0.7946505739506172,watchlist_needs_ablation,Exit family indicator_invalidation is a reusable risk-management module when paired with already positive entry families.,Run one exit-family swap test across the strongest entry family and a neutral fixed baseline.
DISC_6e94ae76384a,HYP_0b7b2a6bd0,complete_strategy,freshness_strict_confirmation,time_decay,long,higher_confidence_watchlist,0.7913110565269461,watchlist_needs_ablation,Combined module freshness_strict_confirmation/30s/time_decay/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_687a48717d4c,HYP_f4346d6e56,complete_strategy,contrarian_crash_fade,indicator_invalidation,long,higher_confidence_watchlist,0.7908489999697885,watchlist_needs_ablation,Combined module contrarian_crash_fade/30s/indicator_invalidation/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_0f0689260a23,HYP_85da119339,exit,ANY,breakeven_ratchet,long,higher_confidence_watchlist,0.7839255541030238,watchlist_needs_ablation,Exit family breakeven_ratchet is a reusable risk-management module when paired with already positive entry families.,Run one exit-family swap test across the strongest entry family and a neutral fixed baseline.
DISC_25fdbe83bf43,HYP_0b32b9656d,complete_strategy,freshness_strict_confirmation,failed_continuation,long,validated_watchlist,0.7804094087026359,watchlist_needs_ablation,Combined module freshness_strict_confirmation/30s/failed_continuation/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_b619f70f81b5,HYP_6e7d9b157c,complete_strategy,freshness_strict_confirmation,state_machine,long,higher_confidence_watchlist,0.7792307542315623,watchlist_needs_ablation,Combined module freshness_strict_confirmation/30s/state_machine/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_4bc64b098aeb,HYP_1a30725f2e,complete_strategy,state_machine_runner,state_machine,long,higher_confidence_watchlist,0.775561880805416,watchlist_needs_ablation,Combined module state_machine_runner/T0/state_machine/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_046e6d511894,HYP_5e384c227c,complete_strategy,contrarian_crash_fade,breakeven_ratchet,long,higher_confidence_watchlist,0.7755226203632799,watchlist_needs_ablation,Combined module contrarian_crash_fade/30s/breakeven_ratchet/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_5dfc58591c2e,HYP_84d4255357,entry,oi_funding_continuation,ANY,long,higher_confidence_watchlist,0.7742922832832219,watchlist_needs_ablation,Entry family oi_funding_continuation with timing 1m and side long has reusable alpha if it remains positive after holding exit choices fixed.,Run one entry-family ablation with the top two stable exits and unchanged cost model.
DISC_07503f15cb38,HYP_966f3236fe,complete_strategy,state_machine_runner,indicator_invalidation,long,higher_confidence_watchlist,0.7736158980846423,watchlist_needs_ablation,Combined module state_machine_runner/T0/indicator_invalidation/long is a complete-strategy candidate for controlled paper validation.,"Freeze this complete module, then mutate only one parameter neighborhood in the next pass."
DISC_40104f1b66ba,HYP_eba4301ccf,exit,ANY,state_machine,long,higher_confidence_watchlist,0.7728226235973807,watchlist_needs_ablation,Exit family state_machine is a reusable risk-management module when paired with already positive entry families.,Run one exit-family swap test across the strongest entry family and a neutral fixed baseline.
DISC_6dc31ccd6aca,HYP_dd95cddc95,exit,ANY,runner_trail,long,higher_confidence_watchlist,0.7720045333424832,watchlist_needs_ablation,Exit family runner_trail is a reusable risk-management module when paired with already positive entry families.,Run one exit-family swap test across the strongest entry family and a neutral fixed baseline.
